Video,Frame,SIM,CC,NSS,Recall,Area_Pct
102861675-976_2020.mp4,0,0.1474,0.2482,1.164,0.5269,0.1349
102861675-976_2020.mp4,147,0.2911,0.5623,3.2081,0.8849,0.1305
102861675-976_2020.mp4,295,0.2567,0.5315,3.1849,0.9796,0.1278
102861675-976_2020.mp4,442,0.3958,0.5861,2.1872,0.7877,0.1365
102861675-976_2020.mp4,590,0.3849,0.6985,2.9712,0.9452,0.1036
103072277-3988_5664.mp4,0,0.3621,0.4364,1.4369,0.4599,0.0979
103072277-3988_5664.mp4,147,0.4741,0.6269,1.826,0.4492,0.1
103072277-3988_5664.mp4,295,0.4448,0.5917,1.7596,0.6037,0.1121
103072277-3988_5664.mp4,442,0.3741,0.484,1.4506,0.4043,0.1118
103072277-3988_5664.mp4,590,0.3656,0.5564,2.0124,0.7179,0.1066
105085837-0_1344.mp4,0,0.4552,0.7952,4.1485,0.9333,0.0619
105085837-0_1344.mp4,147,0.4808,0.6801,2.7298,0.7863,0.1025
105085837-0_1344.mp4,295,0.2147,0.335,1.1299,0.3913,0.1323
105085837-0_1344.mp4,442,0.3195,0.4921,1.884,0.5561,0.0936
105085837-0_1344.mp4,590,0.2199,0.3109,1.0862,0.2714,0.1007
109321182-1056_1984.mp4,0,0.2715,0.555,2.9942,0.7774,0.0529
109321182-1056_1984.mp4,147,0.34,0.6282,2.953,0.8727,0.0828
109321182-1056_1984.mp4,295,0.3288,0.4816,1.6027,0.4769,0.098
109321182-1056_1984.mp4,442,0.3234,0.6736,3.7025,0.9333,0.0763
109321182-1056_1984.mp4,590,0.0908,0.2233,1.7582,0.8685,0.0969
116389205-0_981.mp4,0,0.296,0.4699,1.6578,0.6128,0.1257
116389205-0_981.mp4,147,0.3278,0.5036,1.9288,0.6996,0.1263
116389205-0_981.mp4,295,0.1823,0.4167,2.0858,0.7756,0.1155
116389205-0_981.mp4,442,0.3288,0.5594,2.0923,0.5663,0.0729
116389205-0_981.mp4,590,0.2477,0.2742,1.0239,0.3095,0.1
116389205-982_1987.mp4,0,0.2772,0.4947,2.2955,0.6532,0.08
116389205-982_1987.mp4,147,0.1964,0.4744,2.0922,0.5882,0.0728
116389205-982_1987.mp4,295,0.3334,0.7271,4.387,0.9947,0.0751
116389205-982_1987.mp4,442,0.0792,0.1112,0.5967,0.0989,0.0939
116389205-982_1987.mp4,590,0.2329,0.2215,0.7651,0.2324,0.0928
118922400-0_1450.mp4,0,0.4934,0.7402,3.5049,0.8622,0.0805
118922400-0_1450.mp4,147,0.3907,0.5843,2.2667,0.6754,0.0997
118922400-0_1450.mp4,295,0.4053,0.6744,2.8144,0.9141,0.1189
118922400-0_1450.mp4,442,0.3528,0.5557,2.0611,0.5127,0.0681
118922400-0_1450.mp4,590,0.316,0.3464,1.0936,0.3085,0.1001
124417968-991_1773.mp4,0,0.4277,0.6495,2.937,0.7026,0.0707
124417968-991_1773.mp4,147,0.3415,0.7495,5.7478,1.0,0.0635
124417968-991_1773.mp4,295,0.3075,0.4352,1.7249,0.6618,0.1099
124417968-991_1773.mp4,442,0.352,0.6554,3.5827,0.877,0.0764
124417968-991_1773.mp4,590,0.3833,0.5066,1.7441,0.6373,0.1325
129480397-6049_7568.mp4,0,0.2562,0.2902,0.919,0.3333,0.1232
129480397-6049_7568.mp4,147,0.3154,0.4389,1.8736,0.5963,0.1078
129480397-6049_7568.mp4,295,0.4177,0.6078,2.062,0.7585,0.1267
129480397-6049_7568.mp4,442,0.2708,0.611,3.7069,0.9538,0.103
129480397-6049_7568.mp4,590,0.3235,0.6797,4.5409,0.9301,0.103
129797897-240_902.mp4,0,0.2579,0.489,2.0463,0.6333,0.0833
129797897-240_902.mp4,147,0.2865,0.3288,1.1613,0.1588,0.0671
129797897-240_902.mp4,295,0.3744,0.4109,1.2939,0.4352,0.1019
129797897-240_902.mp4,442,0.2833,0.5137,2.7417,0.8692,0.1
129797897-240_902.mp4,590,0.3989,0.6899,3.391,0.9347,0.091
129797897-903_2137.mp4,0,0.2398,0.5095,2.7006,0.9596,0.1107
129797897-903_2137.mp4,147,0.2364,0.4637,2.5471,0.855,0.1178
129797897-903_2137.mp4,295,0.1489,0.2191,0.7193,0.0909,0.0885
129797897-903_2137.mp4,442,0.1946,0.2452,0.6538,0.0763,0.1016
129797897-903_2137.mp4,590,0.334,0.5884,2.3308,0.716,0.1093
130833077-216_1382.mp4,0,0.4305,0.5511,1.9469,0.6069,0.0861
130833077-216_1382.mp4,147,0.2473,0.2927,1.5167,0.5577,0.1157
130833077-216_1382.mp4,295,0.3325,0.5171,1.8533,0.4558,0.0688
130833077-216_1382.mp4,442,0.4095,0.677,2.7125,0.8017,0.099
130833077-216_1382.mp4,590,0.454,0.7092,3.0313,0.9121,0.1011
131252475-0_850.mp4,0,0.2748,0.4944,2.0758,0.8132,0.1485
131252475-0_850.mp4,147,0.3431,0.4303,1.7792,0.5,0.0978
131252475-0_850.mp4,295,0.2181,0.5009,4.093,0.8478,0.0713
131252475-0_850.mp4,442,0.3461,0.594,2.467,0.8041,0.1344
131252475-0_850.mp4,590,0.3557,0.6034,3.023,0.7079,0.0994
131252475-851_4051.mp4,0,0.1966,0.63,5.958,0.9519,0.0619
131252475-851_4051.mp4,147,0.3546,0.551,3.6242,0.6336,0.0688
131252475-851_4051.mp4,295,0.2341,0.3454,2.2834,0.6,0.0656
131252475-851_4051.mp4,442,0.2506,0.5076,4.0282,0.7617,0.0511
131252475-851_4051.mp4,590,0.2553,0.5053,3.4426,0.7973,0.0681
132737131-220_997.mp4,0,0.1811,0.4305,2.572,0.9243,0.121
