buffer,epoch,train_loss,val_loss,running_val_avg
1,1,0.5746,0.5474,
1,2,0.3007,0.4992,
1,3,0.2243,0.519,0.5190422534942627
2,1,0.1971,0.3953,
2,2,0.1688,0.346,
2,3,0.1552,0.2719,0.39548659324645996
3,1,0.1618,0.2526,
3,2,0.1473,0.25,
3,3,0.1408,0.2242,0.33838675419489544
4,1,0.163,0.2024,
4,2,0.153,0.1841,
4,3,0.1489,0.1776,0.2981928884983063
5,1,0.1578,0.1243,
5,2,0.1465,0.1124,
5,3,0.1421,0.1117,0.26089721620082856
6,1,0.1519,0.129,
6,2,0.1417,0.1289,
6,3,0.1374,0.1304,0.2391470024983088
7,1,0.1479,0.179,
7,2,0.1389,0.1787,
7,3,0.1347,0.1792,0.23057780521256582
8,1,0.1765,0.1694,
8,2,0.1634,0.1674,
8,3,0.1587,0.1633,0.22217058576643467
9,1,0.1567,0.1918,
9,2,0.1473,0.1858,
9,3,0.1425,0.1727,0.21666924324300554
10,1,0.1404,0.1607,
10,2,0.1311,0.1577,
10,3,0.1274,0.1573,0.21072885543107986
11,1,0.1477,0.1964,
11,2,0.1381,0.1954,
11,3,0.1352,0.1947,0.20926737920804458
12,1,0.1408,0.1687,
12,2,0.1333,0.1703,
12,3,0.1296,0.1711,0.2060905508697033
13,1,0.1498,0.1301,
13,2,0.1375,0.1307,
13,3,0.1327,0.1361,0.20070335154349989
14,1,0.1605,0.197,
14,2,0.1485,0.203,
14,3,0.1438,0.2047,0.20099080353975296
15,1,0.1507,0.1942,
15,2,0.139,0.1979,
15,3,0.1346,0.2001,0.20093354880809783
16,1,0.1613,0.2069,
16,2,0.1418,0.2215,
16,3,0.1368,0.2212,0.20220286585390568
17,1,0.1573,0.1521,
17,2,0.1456,0.1568,
17,3,0.1419,0.1591,0.19966842234134674
18,1,0.1574,0.1839,
18,2,0.1439,0.1851,
18,3,0.1389,0.1851,0.19886107908354866
19,1,0.1448,0.1596,
19,2,0.1319,0.1575,
19,3,0.1263,0.1549,0.1965476603884446
20,1,0.1595,0.1744,
20,2,0.1482,0.1791,
20,3,0.1441,0.1781,0.19562478139996528
21,1,0.1513,0.1308,
21,2,0.1391,0.1267,
21,3,0.1343,0.1249,0.19225601532629558
22,1,0.1696,0.1662,
22,2,0.1534,0.1656,
22,3,0.1471,0.167,0.1911077739840204
23,1,0.1639,0.199,
23,2,0.1486,0.2051,
23,3,0.144,0.212,0.1920148901965307
24,1,0.152,0.1621,
24,2,0.1387,0.165,
24,3,0.1336,0.1676,0.19099652860313654
25,1,0.1566,0.1621,
25,2,0.1452,0.1638,
25,3,0.1398,0.1644,0.18993383258581162
26,1,0.1525,0.1619,
26,2,0.1416,0.1612,
26,3,0.1371,0.1613,0.18883275957061693
27,1,0.1603,0.1812,
27,2,0.149,0.1768,
27,3,0.1444,0.1763,0.18836785604556402
28,1,0.1363,0.1711,
28,2,0.1248,0.1746,
28,3,0.12,0.1783,0.1880069569285427
29,1,0.1507,0.1557,
29,2,0.1385,0.1545,
29,3,0.1335,0.1578,0.18696580390478001
30,1,0.1725,0.1496,
30,2,0.1595,0.1506,
30,3,0.1555,0.1506,0.18575386876861255
31,1,0.156,0.151,
31,2,0.1458,0.15,
31,3,0.1421,0.1546,0.18474961408684332
32,1,0.1473,0.2062,
32,2,0.1377,0.1943,
32,3,0.1328,0.1923,0.18498594011180103
